run_id,label,epoch,step,loss,cosine,effective_rank,subject_balanced_context_shuffle_loss_gap
a05-mask-heavy,a05 heavy mask,15,585,0.50203362132748985,0.7636493286515913,6.3851404190063477,0.0001214419181148211
a05-mask-heavy,a05 heavy mask,20,780,0.48268496047737253,0.77051582295670473,7.4197483062744141,0.00013172134446601076
a05-mask-heavy,a05 heavy mask,25,975,0.47039241592089337,0.77405640100821471,7.7044963836669922,0.00014041348670919729
a05-mask-heavy,a05 heavy mask,30,1170,0.46465526126388812,0.77475897114501036,8.1774578094482422,0.00014432448272903763
a05-mask-heavy,a05 heavy mask,35,1365,0.46374898206474435,0.77367561800867068,8.3743047714233398,0.00013750960739950338
a05-mask-heavy,a05 heavy mask,40,1560,0.46402057776084316,0.77299913891360295,8.4109668731689453,0.00013762704717616242
a06-pred-depth3,a06 predictor depth 3,5,195,0.57350410100741267,0.69054673268244815,5.1980137825012207,1.9419255355993913e-05
a06-pred-depth3,a06 predictor depth 3,10,390,0.55504774741637397,0.71549613098812914,6.9351983070373535,8.6461969961722674e-05
a06-pred-depth3,a06 predictor depth 3,15,585,0.53427130340510964,0.72388360999588275,8.1053829193115234,0.00011445484124124053
a06-pred-depth3,a06 predictor depth 3,20,780,0.51364448641100502,0.7331105114048363,8.7909955978393555,0.00012183080737789471
a06-pred-depth3,a06 predictor depth 3,25,975,0.49925728307829964,0.73907845906722236,9.1038293838500977,0.00012901942245662211
a06-pred-depth3,a06 predictor depth 3,30,1170,0.49198022179114514,0.74143831597434151,9.3499870300292969,0.00012998362071812153
a06-pred-depth3,a06 predictor depth 3,35,1365,0.49016550794625896,0.7412665603507278,9.4562644958496094,0.00012719566002488135
a06-pred-depth3,a06 predictor depth 3,40,1560,0.4901213475272187,0.74084504802002871,9.4819555282592773,0.00012646640340487159
a07-clip-var,a07 clip variance,5,195,0.51329977644814384,0.76817925363524342,7.7839503288269043,0.0065181976184248954
a07-clip-var,a07 clip variance,10,390,0.51363379450944757,0.77679249975416398,15.559825897216797,0.03876233763682347
a07-clip-var,a07 clip variance,15,585,0.51110043612300837,0.76728775766160751,25.219511032104492,0.052271358886112763
a07-clip-var,a07 clip variance,20,780,0.5178969008290869,0.7547882805522691,29.423318862915039,0.060298342350870372
a07-clip-var,a07 clip variance,25,975,0.52974942861459196,0.73968615949663341,32.933383941650391,0.065351379135002677
a07-clip-var,a07 clip variance,30,1170,0.53627210855484009,0.7320248892164638,35.829551696777344,0.065425669169053444
a07-clip-var,a07 clip variance,35,1365,0.54165968222495842,0.72558258180944324,37.157291412353516,0.065439445013180386
a07-clip-var,a07 clip variance,40,1560,0.54305184753532088,0.72402823226064694,37.2735595703125,0.065946036359916124
