run_id,epoch,step,val_loss,val_cosine,val_effective_rank,val_subject_balanced_context_shuffle_loss_gap
b01-mask-light,62,2418,0.38531001307006574,0.77582047128269815,10.604465484619141,0.00031417572560409702
b01-mask-light,64,2496,0.3846300427730267,0.77584931687412095,10.583342552185059,0.0003196882704893746
b01-mask-light,66,2574,0.38409094958223849,0.77580451965332031,10.601740837097168,0.00032578591878215478
b01-mask-light,68,2652,0.38363256719377303,0.77577039472058285,10.697049140930176,0.00033131659341355171
b01-mask-light,70,2730,0.3831651093613388,0.77573257582819355,10.703375816345215,0.00033365404233336442
b01-mask-light,72,2808,0.38286127137322712,0.77561901165888858,10.677974700927734,0.00033955577140053119
b01-mask-light,74,2886,0.38266984417907191,0.77552726177068854,10.66358757019043,0.00034409345438083023
b01-mask-light,76,2964,0.38249133489070797,0.77538758465367508,10.778101921081543,0.00034562724952896427
b01-mask-light,78,3042,0.38244314045987576,0.77527167858221591,10.747766494750977,0.00034575109990934538
b01-mask-light,80,3120,0.38239954832272655,0.77515280959952593,10.835460662841797,0.00034701291782160605
b01-mask-light,82,3198,0.38230628131801248,0.77507803226128602,10.832175254821777,0.00034990999847650517
b01-mask-light,84,3276,0.38231788995938426,0.7749384101639446,10.831653594970703,0.00035190150762597712
b01-mask-light,86,3354,0.38231444588074315,0.77487857372332847,10.840951919555664,0.00035159013544519742
b01-mask-light,88,3432,0.38230459277446455,0.77481516966452968,10.859282493591309,0.00035210195928812025
b01-mask-light,90,3510,0.38231246262534052,0.77475173758645344,10.883174896240234,0.00035451073199510569
b01-mask-light,92,3588,0.38232104340170181,0.77469840824094593,10.864751815795898,0.00035453055364390214
b01-mask-light,94,3666,0.38235988270523202,0.77464579211341011,10.897767066955566,0.00035427408292889603
b01-mask-light,96,3744,0.38237780485397732,0.7746197092227447,10.914562225341797,0.00035395463928580275
b01-mask-light,98,3822,0.38238275025644874,0.7746082926407839,10.902161598205566,0.00035448060370981695
b01-mask-light,100,3900,0.38230621203398091,0.77461487156713116,10.916805267333984,0.00035457868749896686
b02-mask-light-clip-var,2,78,0.64262427020276713,0.6607897001453954,1.9145848751068115,3.35594949622949e-05
b02-mask-light-clip-var,4,156,0.57154962802544618,0.73064781101340925,4.7114081382751465,0.0002027015201747417
b02-mask-light-clip-var,6,234,0.60950707574175977,0.66707767023999465,8.1627006530761719,0.009521599362293881
b02-mask-light-clip-var,8,312,0.601249246006338,0.68858710211566376,15.180384635925293,0.022265770472586155
b02-mask-light-clip-var,10,390,0.57694104594043183,0.71775324273313212,21.786384582519531,0.032547141239047048
b02-mask-light-clip-var,12,468,0.5656697474993192,0.72082636906550479,27.186681747436523,0.040326573606580499
b02-mask-light-clip-var,14,546,0.55701340976943314,0.72307664665401494,29.854045867919922,0.049561298498883848
b02-mask-light-clip-var,16,624,0.56074305222584653,0.71208875250612569,35.554512023925781,0.055351144168525948
b02-mask-light-clip-var,18,702,0.56285217531725895,0.70641680456634259,39.811611175537109,0.057476618528986965
b02-mask-light-clip-var,20,780,0.564546400665218,0.7028604857941978,42.885498046875,0.063454149958367165
b02-mask-light-clip-var,22,858,0.56600735839615524,0.70019252127052367,45.104194641113281,0.069208497786894446
b02-mask-light-clip-var,24,936,0.56605361618547356,0.69927286235695207,47.361560821533203,0.073281385175262906
b02-mask-light-clip-var,26,1014,0.56682412390016079,0.69746715594560671,51.405414581298828,0.076619433130448084
